ID Client,Nom du Client,Prénoms du Client,Date de Naissance,Date d’Entrée en Relation,Adresse Postale,Ville,Pays,Continent,Numéro de Téléphone,Code Postal,Email
1,Legros,Aimée,1990-05-26,2018-08-01,"24, rue Roux",Voisin,France,Europe,0680994704,39591,isaac37@picard.com
2,Barre,Charlotte,1999-08-04,2010-03-23,"94, boulevard Georges",Pinto,France,Europe,0116738702,53942,jeanpeltier@noos.fr
3,Gilles,Pénélope,1988-06-06,2017-12-18,"7, chemin Seguin",Vasseur-sur-Simon,France,Europe,0634492655,52204,fschneider@maury.fr
4,Bouvet,Dorothée,1935-02-26,2013-10-28,"491, rue Aubert",Sainte Éric,France,Europe,+33 2 49 14 67 07,74936,ocarlier@yahoo.fr
5,Morel,Marcelle,1940-03-12,2014-06-22,"41, rue de Bruneau",Sainte Julien,France,Europe,04 25 10 22 56,09159,baronalice@laposte.net
6,Garcia,Adrienne,1969-05-09,2010-06-19,"84, chemin Raymond Valette",Garnier,France,Europe,05 38 08 65 60,17957,aguillou@bouygtel.fr
7,Hebert,Arthur,2002-01-05,2011-07-03,"28, boulevard de Camus",Saint Stéphane,France,Europe,0802597198,69948,omarion@sfr.fr
8,Chauvin,Guy,2002-01-26,2019-05-27,"24, rue Clémence Moreno",Sainte Suzanne,France,Europe,,82419,julessanchez@hotmail.fr
9,Mary,Thibaut,1957-06-28,2013-12-13,"968, rue Techer",DelattreVille,France,Europe,+33 (0)2 77 58 07 37,28252,marinrichard@cousin.net
10,Vallée,Adélaïde,1970-03-07,2014-03-06T14:30:56.287485,"81, boulevard Aimé Guilbert",Foucher,France,Europe,,21976,xrichard@ferreira.org
11,Germain,Lucie,1938-03-25,2009-12-26,avenue Catherine François,Hoarau,France,Europe,06 47 84 80 82,15508,augustindubois@bouygtel.fr
12,Seguin,Laurent,1936-09-10,2023-11-24,"8, chemin Martin Étienne",Torres-la-Forêt,France,Europe,+33 6 67 55 46 06,73814,julienpichon@gmail.com
13,Auger,Emmanuel,1977-10-07,2018-06-15,chemin de Fleury,Sainte Colette,France,Europe,,26604,colletanastasie@yahoo.fr
14,Colin,Alix,1993-05-17,2021-12-31,"960, chemin Martineau",Jacobboeuf,France,Europe,,89187,dos-santosmargot@tiscali.fr
15,Barthelemy,Augustin,1960-05-18,2012-06-15,rue de Masson,Brunet-les-Bains,France,Europe,+33 (0)6 09 42 07 32,56077,zblanchet@noos.fr
16,Carlier,Jacqueline,1961-12-01,2023-05-23,"39, rue Mathilde Charles",Sainte MartinBourg,France,Europe,,31147,pierre17@lefevre.org
17,Bodin,Mathilde,1969-08-15,2020-12-19,avenue de Léger,Grenier,France,Europe,+33 (0)3 52 04 37 59,06072,bousquetphilippine@aubert.fr
18,Delannoy,Gérard,1958-11-12,2020-03-14,"43, avenue Marc Chevallier",Sainte Josettedan,France,Europe,08 05 86 33 52,67013,jcharpentier@sfr.fr
19,Humbert,Charlotte,1976-08-25,2019-10-09,"9, avenue Michel Faivre",Hardy-la-Forêt,France,Europe,+33 (0)6 39 42 62 34,63414,joseph75@orange.fr
20,Navarro,Antoinette,1997-04-23,2021-05-01,"82, avenue de Reynaud",Meunier-sur-Nicolas,France,Europe,+33 3 16 82 47 76,62739,francoisbarre@mendes.net
21,Martel,Patricia,1980-12-04,2016-07-30,"74, boulevard Fernandez",Bernarddan,France,Europe,+33 1 08 27 51 43,71421,claudinerenard@merle.com
22,Bouvier,Éléonore,1971-03-30,2015-12-31,"82, boulevard Alfred Laurent",Meunier-sur-Mer,France,Europe,0618270054,89179,gregoirebertrand@free.fr
23,Ferreira,Simone,1987-12-23,2013-01-16,"7, chemin Lopez",Delahaye-sur-Breton,France,Europe,+33 3 61 64 39 91,69410,hbonneau@laposte.net
24,Meyer,Éric,1985-11-20,2022-12-14,"77, rue de Pottier",Diaz,France,Europe,06 76 39 72 64,28858,eric65@yahoo.fr
25,Pichon,Dorothée,1969-03-21,2018-09-27,"67, boulevard Raynaud",Mercier,France,Europe,0487792729,74620,randre@mary.com
26,Lacroix,Catherine,2001-11-05,2011-04-24,"8, rue Chantal Morel",Bazinboeuf,France,Europe,04 53 07 82 00,84471,bernadetteguillou@humbert.com
27,Rémy,Gérard,1990-02-08,2018-08-14,chemin De Oliveira,Vallet,France,Europe,+33 (0)4 10 19 40 10,34320,baillysusanne@hotmail.fr
28,Fleury,Jules,1953-10-10,2020-06-05,"24, rue Olivier Carre",Pereira,France,Europe,+33 (0)6 07 10 74 32,16270,hmartinez@barthelemy.fr
29,Bertrand,Alexandria,2005-12-09,2021-01-30,chemin Adèle Lejeune,Potierboeuf,France,Europe,0189626590,57212,petitcolette@club-internet.fr
30,Jacquot,Margot,1967-08-11,2020-06-10,avenue Étienne,Sainte André,France,Europe,0661574371,84875,henri46@yahoo.fr
31,Dupuy,Josette,1935-08-22,2012-01-07,"5, rue Bouvet",Maillard-sur-Gosselin,France,Europe,+33 (0)3 08 44 13 70,90139,blinmartine@free.fr
32,Lemoine,Juliette,1982-02-18,2021-04-18,"35, rue François",Mercier-sur-Jacquet,France,Europe,0233774009,43174,vaillantphilippine@orange.fr
33,Gilbert,Margot,1966-11-16,2020-01-21,"70, avenue Gautier",Pelletier,France,Europe,03 28 57 34 54,25622,vroyer@pierre.fr
34,Dupuy,Gérard,1993-10-01,2022-08-16,"18, avenue Margaux Pereira",Dos Santosboeuf,France,Europe,+33 4 55 56 58 52,24866,dlefort@dbmail.com
35,Faivre,Maurice,1976-12-25,2013-11-07,chemin de Lesage,Colas-sur-Mercier,France,Europe,+33 3 23 26 68 86,65952,ifernandes@duval.fr
36,Chevallier,Bernard,1977-07-24,2020-12-21,"78, avenue de Traore",Sainte Alain-les-Bains,France,Europe,02 12 23 62 30,27098,anne37@voila.fr
37,Dumont,Robert,1991-08-16,2014-03-06T14:30:56.287485,chemin Sauvage,Pottier,France,Europe,+33 (0)8 01 28 17 17,87461,edouard60@tiscali.fr
38,Neveu,Pierre,1975-01-10,2020-08-19,"2, chemin de Riou",Leblanc,France,Europe,+33 (0)5 37 68 63 18,75104,kdos-santos@blondel.org
39,Perret,Claude,2004-11-13,2014-03-06T14:30:56.287485,"119, boulevard Pons",Lebrunnec,France,Europe,04 94 02 91 29,39382,rramos@live.com
40,Rousset,Marcel,1951-02-24,2023-03-24,"708, rue Marcel Leclercq",Saint Laurent,France,Europe,02 02 29 03 10,86829,gomezdorothee@noos.fr
41,Georges,Émile,1961-03-24,2021-05-14,"1, rue de Menard",Saint Édith,France,Europe,06 63 02 23 19,67223,noemimonnier@dbmail.com
42,Jacquet,Hortense,1971-10-31,2013-05-11,chemin de Chevalier,De Oliveiradan,France,Europe,05 95 67 36 44,57864,yle-goff@club-internet.fr
43,Maréchal,Gabriel,1979-09-08,2023-12-07,boulevard Barbe,Moreno-les-Bains,France,Europe,+33 4 84 91 51 58,03676,lvaillant@tele2.fr
44,Pineau,Christine,1974-11-20,2019-05-22,boulevard de Da Silva,Adam-sur-Mer,France,Europe,05 64 47 60 21,40744,umasson@samson.fr
45,Bègue,Jean,1943-09-12,2023-10-22,"4, chemin Claudine Lacombe",Navarro,France,Europe,05 65 12 70 38,15516,loiseaunicolas@sauvage.net
46,Vidal,Marianne,1947-07-05,2021-04-04,"943, avenue de Rodrigues",Dijoux,France,Europe,+33 2 66 46 27 56,61669,charlottebodin@wanadoo.fr
47,David,Madeleine,1954-11-22,2009-08-27,"141, boulevard de Turpin",Ferrand,France,Europe,0806688239,06941,legernicole@voila.fr
48,Le Roux,Jacqueline,1939-12-23,2012-09-15,"2, rue Maurice",Martinezboeuf,France,Europe,08 06 36 28 67,41170,delmasjacques@live.com
49,Perrot,Frédérique,1980-01-12,2014-08-18,"20, rue Lucas",Pons,France,Europe,0119685792,88640,lletellier@bertin.com
50,Salmon,Anaïs,1962-08-31,2023-07-11,"63, rue Michelle Morel",Teixeira-sur-Thierry,France,Europe,,31407,nicole77@noos.fr
51,Gonzalez,Aurélie,1955-11-22,2015-08-14,"39, avenue Coste",Tessierdan,France,Europe,+33 (0)8 01 50 78 54,61202,marchandelisabeth@gmail.com
52,Bigot,Nath,1993-01-11,2020-04-12,"647, boulevard de Bonneau",Raymond,France,Europe,03 01 80 50 81,31609,zacharie20@gay.fr
